mean_x,mean_y,mean_z,std_x,std_y,std_z,min_x,min_y,min_z,max_x,max_y,max_z,mad_x,mad_y,mad_z,energy_x,energy_y,energy_z,freq_max_x,freq_max_y,freq_max_z,spectral_entropy_x,spectral_entropy_y,spectral_entropy_z,gesture
-6899.2,47.893214550706446,-6976,-6848,40.960000000000036,47601254.4,-13228.8,70.4,-13312,-13120,66.55999999999986,175006105.6,7660.8,57.6,7552,7744,48.639999999999965,58691174.4,0,0.090452065,0,0.065410722,0,0.082685438,left
-6905.6,44.800000000000004,-6976,-6848,34.55999999999985,47689318.4,-13209.6,71.26738384422427,-13312,-13120,61.44000000000015,174498611.2,7660.8,57.6,7552,7744,48.639999999999965,58691174.4,0,0.08396917,0,0.072007655,0,0.082685438,left
-6924.8,55.79390647732062,-7040,-6848,43.520000000000074,47955968,-13190.4,66.81796165702751,-13312,-13120,48.63999999999978,173991116.8,7660.8,57.6,7552,7744,48.639999999999965,58691174.4,0,0.092352131,0,0.06393068,0,0.082685438,left
-6944,59.00508452667448,-7040,-6848,51.2,48222617.6,-13184,70.10848736066126,-13312,-13120,51.2,173822771.2,7654.4,58.656968895434744,7552,7744,51.2,58593280,0,0.11334152386512884,0,0.065597711,0,0.08840086,left
-6956.8,49.98559792580259,-7040,-6912,44.8,48399564.8,-13190.4,72.69002683,-13312,-13120,60.159999999999854,173991936,7648,59.00508452667448,7552,7744,51.2,58495385.6,0,0.084532342,0,0.071856573,0,0.096005376,left
-6956.8,49.98559792580259,-7040,-6912,44.8,48399564.8,-13177.6,78.12195594,-13312,-13120,69.12000000000008,173655244.8,7635.2,40.97999511957023,7552,7680,35.83999999999996,58297958.4,0,0.084532342,0,0.081564862,0,0.074070648,left
-6969.6,53.16239272267568,-7040,-6912,46.07999999999993,48578150.4,-13158.4,65.26744977398764,-13312,-13120,53.759999999999856,173147750.4,7635.2,40.97999511957023,7552,7680,35.83999999999996,58297958.4,0,0.10143943776171939,0,0.064358758,0,0.074070648,left
-6982.4,53.16239272267568,-7040,-6912,46.07999999999993,48756736,-13139.2,40.97999511957023,-13248,-13120,30.720000000000436,172640256,7635.2,40.97999511957023,7552,7680,35.83999999999996,58297958.4,0,0.08741472,0,0.043708096,0,0.074070648,left
-6419.2,1713.7307139687962,-7040,-1280,1027.8400000000001,44143001.6,-13260.8,381.64611880641473,-14400,-13120,227.8399999999994,175994470.4,7443.2,604.4866913340608,5632,7680,362.2400000000001,55766630.4,0,1.3557425884829786,0,0.3032657710553026,0,0.6578944694510653,left
-5856,2288.3468268599495,-7040,-1280,1830.4,39529267.2,-13388.8,507.0157394,-14400,-13120,404.47999999999956,179517030.4,7244.8,806.9077766386937,5632,7680,645.1199999999999,53138227.2,0,1.570752656383649,0,0.3697015606973029,0,0.7986600513671903,left
